,Text,Pass,Expected,Anna,Amrutha,Amrutha_enc,Anna_enc,positive_sentiment,negative_sentiment,text_length
175,"Being a farmer requires back-breaking physical labor. From tilling the soil to planting the crops and finally reaping the harvest, each stage demands immense physical strength and stamina. It's not just a matter of working the fields; it's also about maintaining the machinery, repairing fences, and taking care of the livestock. Despite the physical exhaustion, there's a deep sense of satisfaction in growing food and sustaining our communities.",syntactic_data,Physical Labor,,,,,93.64,6.36,68
176,"A day in the life of a mover involves a lot of heavy lifting and physical labor. We are tasked with safely and efficiently moving people's belongings, which requires a great deal of strength and coordination. The work is physically demanding, with long hours of carrying heavy furniture and boxes up and down stairs. The bright side is the satisfaction of helping people transition into their new homes, and finishing the day knowing I've completed a hard day’s work.",syntactic_data,Physical Labor,,,,,86.5,13.5,79
177,"Work days for a nurse are filled with physical labor that can sometimes go unnoticed. The constant walking, the lifting and moving of patients, the long hours standing on our feet - it's all a part of the job. Despite the physical toll, the reward of helping patients and making a difference in their lives makes it worth the effort. Most days I'm exhausted by the time my shift ends, but the fulfillment I feel is unmatched.",syntactic_data,Physical Labor,,,,,61.74,38.26,77
178,"My recent diagnosis with diabetes has brought a significant level of stress into my life. The constant monitoring of my diet, regular insulin shots, and frequent doctor's visits are overwhelming. To make matters worse, my health insurance doesn't cover all my medical costs, and the bills are piling up. The lack of a reliable means of transportation has also made it difficult for me to get to my medical appointments.",syntactic_data,Illness,,,,,21.11,78.89,70
179,"I was diagnosed with a chronic illness a few months ago. The medication side-effects are unbearable, causing constant fatigue and dizziness which make it impossible to keep my job. The financial strain is compounding my stress, as I've been forced to sell my vehicle and move into a smaller apartment just to afford my medical expenses.",syntactic_data,Illness,,,,,0,100,56
180,"My life took a downturn when I got diagnosed with a severe heart condition. I was advised against any strenuous activities, which meant I had to quit my job as a construction worker. Navigating through my daily survival without a steady income has been a nightmare, and the loss of my vehicle due to non-payment has made it even more challenging to get to my medical appointments.",syntactic_data,Illness,,,,,27.78,72.22,67
181,"Being diagnosed with a serious illness has been a major source of stress in my life. The regular hospital visits, coupled with the physical discomfort, have caused me to take extended leave from work. This has put a strain on my finances and I had to sell my car to cover the medical expenses, making it even harder to attend my regular check-ups.",syntactic_data,Illness,,,,,0,100,63
182,"The diagnosis of my autoimmune disease last year shook me to the core. The pain and discomfort have made it impossible for me to continue working. To make ends meet, I started selling my possessions, including my car. However, without my car, even getting to the hospital for treatment has become a challenge.",syntactic_data,Illness,,,,,14.65,85.35,53
183,"As a 15-year-old girl, my hormones are all over the place. I have acne, sudden weight gain and I often have mood swings. Small things trigger me and I end up scratching my arms or legs, anything to distract myself from the mental discomfort. It's not that I have a bad life, but I feel out of control over my emotions. Sometimes it's over small things, like not being able to untangle my necklace.
",syntactic_data,Illness,,,,,67.79,32.21,74
184,"My health took a turn for the worse when I was diagnosed with chronic kidney disease. I'm now on dialysis and it has taken a toll on my energy levels and overall mood. I had to give up my job, which led to a significant reduction in our family income. We were forced to sell our car to make ends meet, and now my transportation to the dialysis center is a challenge.",syntactic_data,Illness,,,,,46.15,53.85,72
185,"I have been battling with heart disease for the past two years. It has disrupted my life completely, requiring frequent hospital visits and medication. I ended up losing my job as I couldn't keep up with the physical demands. This led to a financial crisis and I had to move out of my apartment. Now, I'm living with a friend, trying to manage my health and rebuild my life.",syntactic_data,Illness,,,,,26.63,73.37,69
186,"Being diagnosed with cancer was a life-changing event. I had to undergo intense and exhausting treatments, which left me unable to work. The mounting medical bills put immense pressure on me and I had to sell my property to cover the costs. The situation worsened when my insurance denied coverage for certain treatments. Now, I'm struggling to afford the cost of living while battling this disease.",syntactic_data,Illness,,,,,14.67,85.33,66
187,"My life took a downward spiral when I was diagnosed with multiple sclerosis. The constant pain and fatigue made it impossible for me to continue my job. My unemployment led to financial difficulties and I had to let go of my vehicle. Now, getting to my medical appointments has become a struggle, making it even more challenging to manage my illness.",syntactic_data,Illness,,,,,10.89,89.11,61
188,"My dietary stress has been causing me to crave junk food more often than not, and even though I know it's harming my body, I can't seem to resist the temptation.
",syntactic_data,Dietary Stress,,,,,0,100,31
189,"My obsession with counting calories and skipping meals has been taking a toll on my health, but I can't seem to stop, even though I'm aware of the damage it can cause.",syntactic_data,Dietary Stress,,,,,27.97,72.03,32
190,"Lately, I've been on this restrictive diet to get fit, and even though I feel lightheaded most of the time, I keep pushing myself believing it's the right thing to do.",syntactic_data,Dietary Stress,,,,,100,0,31
191,"I've been surviving on junk food for quite some time now because of my hectic schedule, and I can feel my energy levels plummeting day by day.",syntactic_data,Dietary Stress,,,,,100,0,27
192,"Despite my stomach constantly growling with hunger, I have been ignoring it due to my fear of gaining weight and this has caused me to feel weak and fatigued.",syntactic_data,Dietary Stress,,,,,17.58,82.42,29
193,"Recently, my skin has become dull and dry despite my usual skincare regime. With the scorching heat in my area, it's possible that dehydration might be taking a toll on me, subtly wreaking havoc on my skin. I had high hopes from my skincare products but they seem to be falling short. If anyone has any insights or remedies for this, I would be really grateful.",syntactic_data,Dietary Stress,,,,,50.56,49.44,66
194,"Skipping meals due to my hectic work schedule has become a norm, causing a significant change in my energy and focus throughout the day.",syntactic_data,Dietary Stress,,,,,100,0,24
195,My recent obsession with counting calories and a fear of gaining weight has led me to cut out many essential nutrients from my diet.,syntactic_data,Dietary Stress,,,,,26.69,73.31,24
196,"I've been so engrossed in my workload, I hardly have time for proper meals, instead, I've been surviving on coffee and junk food.",syntactic_data,Dietary Stress,,,,,100,0,23
197,"My attempt to lose weight rapidly made me fall into the trap of fad diets, leading to an imbalance of vital nutrients in my body.",syntactic_data,Dietary Stress,,,,,45.03,54.97,25
198,"Too much takeaway and processed food has become my go-to due to lack of time to prepare home-cooked meals, making me feel sluggish and drained.",syntactic_data,Dietary Stress,,,,,0,100,25
199,"1. He was always so sensitive that it worried me. He would retreat into his room for hours, completely overwhelmed by his emotions, and I would be left picking up the pieces. I remember this one time, he had a major meltdown over a trivial argument, and in his rage, he threw a glass at the wall. I was left to clean up the broken shards, my heart aching for his emotional turmoil. The police came that day to check on the noise, and I had to show them the shattered glass as evidence.",syntactic_data,Emotional Stress,,,,,26.26,73.74,94
200,"2. She was a hurricane of emotions, constantly blowing hot and cold. One moment she would be laughing, the next she would be in tears. I recall a night when we were watching a movie, and she suddenly began to sob, wailing about how the end reminded her of her past. She gripped my arm so tightly, her nails dug into my skin. The next day, I had to show the doctor my bruises, just to make sure everything was okay.",syntactic_data,Emotional Stress,,,,,65.69,34.31,81
201,"3. He was a puzzle of raw, unchecked emotion. One afternoon, after a particularly painful conversation, he threw himself into a fit of rage. He destroyed the living room, throwing furniture around, and when I tried to stop him, he scratched my face. It was a sight that I had to show to the policemen who came to investigate the disturbance, my face bruised and scratched from his emotional outburst.",syntactic_data,Emotional Stress,,,,,21.69,78.31,70
202,"4. She was a bundle of explosive emotions. It was like walking on eggshells around her, never knowing when she would erupt. In one such instance, she lost control and flung a vase across the room, narrowly missing me. She attacked me too, and left behind nail marks on my arms. I had to show these marks to the police when they arrived, responding to a noise complaint from the neighbors.",syntactic_data,Emotional Stress,,,,,20.61,79.39,71
203,"5. It was like living inside a storm, his emotions were always running high. I remember this one incident when he lost control over a minor disagreement about dinner. He threw plates and cups, and when I tried to calm him, he lashed out at me, leaving deep scratches on my arms. I had to show these wounds to the police when they came, called upon by our frightened neighbors.",syntactic_data,Emotional Stress,,,,,38.37,61.63,70
204,"Emotional stress has become my constant companion ever since the painful breakup with my girlfriend. I remember the last time we met, her eyes welled up with tears, the sharp sting of her words still echoing in my ears. The misery of losing her, the emptiness, and the constant questioning of my self-worth has left me emotionally drained. Sleep eludes me, as I toss and turn thinking about her. I've tried to push the thoughts away, but they keep creeping back in, causing more emotional damage than I can bear.
",syntactic_data,Emotional Stress,,,,,20.25,79.75,90
205,"He was always a sensitive soul, taking things to heart a little too easily. My words, even though they were meant to be constructive, seemed to hurt him more than help. There was this one incident, where he locked himself in his room for a week, refusing to talk to anyone after a heated argument we had. He was emotionally stressed, with tears surfacing every now and then. The look in his eyes was enough for anyone to understand the emotional turmoil he was going through.",syntactic_data,Emotional Stress,,,,,30.17,69.83,86
206,"She was always a perfectionist, wanting everything to be just right. Her room had to be spotless, her work had to be exemplary, and her relationships had to be flawless. But the world is not a perfect place, and when things didn't go as planned, she would break down. I remember her sobbing inconsolably when she scored less than she expected in her exams. The emotional stress it caused her was visible in her red, swollen eyes.",syntactic_data,Emotional Stress,,,,,34.17,65.83,77
207,"My friend was always the life of the party, but behind the laughter, there was hidden pain. His parents' divorce had hit him hard, causing emotional stress that he found hard to cope with. I remember one night, after everyone else had left, he broke down and cried. He tried to hide his tears with a fake smile, but his emotions were too raw to hide.",syntactic_data,Emotional Stress,,,,,31.61,68.39,66
208,"She was always cheerful and bubbly, but things changed after her dog died. Her constant companion was gone, leaving a void that she struggled to fill. You could see her trying to hold back her tears whenever someone mentioned her pet. The emotional stress was etched on her face, reflecting her inner turmoil.",syntactic_data,Emotional Stress,,,,,19.25,80.75,53
209,"Lately, I've been feeling overwhelmed with the amount of information I need to process at work. It's as if time is moving too quickly, I'm constantly apprehensive and burdened by guilt. My standards for myself are becoming unbearably high, leading to self-criticism and in the worst moments, self-loathing.",syntactic_data,Cognitive Stress,,,,,23.15,76.85,48
210,"The panic attacks come out of nowhere, leaving me gasping for breath and terrified. I don't feel like myself anymore, and sometimes, the world around me doesn't even seem real. It's as if I've completely lost control over my life.",syntactic_data,Cognitive Stress,,,,,0,100,40
211,"I can't shake off the intense feelings of jealousy and resentment, they're consuming my every thought. I'm attached to things and people that only bring me pain. My self-esteem is at an all-time low, and this unattainable pursuit of perfectionism is driving me to the edge.",syntactic_data,Cognitive Stress,,,,,32.53,67.47,46
212,"My mind is a whirl of worries and fears that I can't quieten. The guilt of past mistakes weighs heavily on my heart, and no matter how hard I try, I can't let go. I'm constantly second-guessing myself, criticizing every decision I make. It feels as if I'm spiraling, losing control of my own thoughts and actions.",syntactic_data,Cognitive Stress,,,,,14.65,85.35,57
213,"Sometimes I feel an intense rush of anxiety, a panic attack that leaves me shaky and disoriented. I've become overly critical of myself, setting impossible standards that I can never meet. I'm losing my sense of self, grappling with feelings of unreality, and the constant sense of being out of control is terrifying.",syntactic_data,Cognitive Stress,,,,,15.76,84.24,53
214,"Just recently I've started to feel as though the days are rushing by, taking me along in their unyielding torrent. It's as if my mind is constantly bombarded with information, thoughts, and anxieties that I can't seem to process fast enough. It's like I'm constantly on the edge of a panic attack, a sensation that's both terrifying and exhausting.",syntactic_data,Cognitive Stress,,,,,14.8,85.2,59
215,"The past few months have been characterized by a profound sense of guilt and shame. I feel as if I'm constantly criticizing myself, fueled by my own unattainable standards of perfection. No matter how much I try, there's just this persistent feeling of being out of control, like I'm passively watching my life unspool from a distance.",syntactic_data,Cognitive Stress,,,,,43.22,56.78,57
216,"I've been having a hard time lately, feeling as if I'm not myself. There's this strange detachment, like I'm a spectator in my own life, and an equally unsettling sense of things not being real. It's as if I'm constantly fighting some internal battle, a struggle that leaves me feeling utterly drained.",syntactic_data,Cognitive Stress,,,,,28.79,71.21,52
217,"Lately, I've been feeling like I'm in a constant state of worry, hounded by feelings of jealousy and resentment that I can't seem to let go of. Sometimes, it feels like I'm spiraling out of control, as though my life is governed by some unseen force that keeps pushing me towards the edge.",syntactic_data,Cognitive Stress,,,,,44.49,55.51,53
218,"My mind feels like it's constantly under siege. The barrage of thoughts, concerns, and anxieties seem to come in waves, leaving me feeling overwhelmed and out of control. It's as though I'm a prisoner to my own insecurities, dragged along by an unending current of self-loathing and criticism.",syntactic_data,Cognitive Stress,,,,,30.29,69.71,48
219,"Always being the responsible one, needing to fix everything and everyone, can wear you down. You start to see the world through a lens of problems to be solved, and it's exhausting. The emotional toll of always being the caretaker can be overwhelming. You start to believe that if you're not fixing things, you're not valuable. It's important to remember that your worth isn't dependent on others, but it's a perspective that's tough to shake.",syntactic_data,Perceptual Stress,,,,,36.23,63.77,75
220,"The pressure to conform to societal norms can be immense. Expected to fit into certain roles and act in certain ways, it feels like stepping out of line is more trouble than it's worth. You're so worried about being judged and rejected that you start to live a life that doesn't feel like your own. You forget your own truth, your own desires, just to fit in and feel accepted.",syntactic_data,Perceptual Stress,,,,,61.38,38.62,70
221,"The story you tell yourself, about who you are and what you're capable of, can be a constant source of self-doubt and anxiety. It feels like you're in a box, with no room to grow or change, and it's stifling. You start to believe that this is all you'll ever be, and it's a bleak outlook. It's crucial to remember that you're more than the sum of your past mistakes and failures.",syntactic_data,Perceptual Stress,,,,,35.29,64.71,72
222,"A negative attitude can color your entire view of the world. Everything looks grim and hopeless, and it feels like there's no point in trying. This belief solidifies into a self-fulfilling prophecy, and you end up stuck in a cycle of negativity and despair. It's a constant struggle to break free from this mindset, but it's important to remember that there's always another perspective to consider.",syntactic_data,Perceptual Stress,,,,,28.47,71.53,66
223,"A rigid world view can make you feel trapped. You see things in black and white, with no room for shades of grey. It feels like there's only one right way to live, one right way to be, and anything else is wrong and shameful. This belief can be isolating, making you feel alone and misunderstood. It's a challenging belief to question and change, but it's necessary for personal growth and happiness.",syntactic_data,Perceptual Stress,,,,,50,50,72
224,"Sometimes, drawn in by the narrative spun by the tormentor, victims may start to believe that their tormentor's abusive actions are somehow justified due to their own failings. This misguided belief begins to shape their worldview and they may even start to blame themselves for the torment they are experiencing. In reality, the victim is not at fault, but the abuser's manipulation can make it seem this way.",syntactic_data,Perceptual Stress,,,,,22.01,77.99,68
225,"The emotional turbulence that ensues as a result of abuse can cause victims to question their own roles in the relationship. The abuser may switch between kind and cruel behaviour, making the victim feel like they are responsible for the abuser's good behaviour. In their desperate search for safety and comfort, they may start to believe that they need to change or behave in certain ways to ensure the abuser's kindness.",syntactic_data,Perceptual Stress,,,,,58.35,41.65,71
226,"In abusive situations, the victim may start to view their existence through the lens of the abuser's actions. They may even think that their survival is dependent on them meeting the abuser's demands, no matter how unreasonable they may be. This distorted view of reality can be incredibly dangerous, as it can undermine the victim's sense of self and self-worth.",syntactic_data,Perceptual Stress,,,,,6.32,93.68,60
227,"The victim's attitudes towards themselves and the world around them can be heavily influenced by the constant abuse. They may start to believe that they deserve the abuse, or that it's a normal part of life. These misguided beliefs can prevent them from seeking help and escaping the abusive situation.",syntactic_data,Perceptual Stress,,,,,28.52,71.48,50
228,"In some cases, the victim may even start to rewrite their own stories to accommodate the abuser's actions. They may convince themselves that they are not victims but are instead part of a ""normal"" relationship, wherein the abuser's behaviour is justified. This warped narrative can prevent them from recognising the reality of their situation and seeking help.",syntactic_data,Perceptual Stress,,,,,87.75,12.25,57
229,"I've been dating my partner for a year now, and he's changed a lot since we first met. He used to be the life of the party, always out with friends and enjoying his time. But he has become more introverted, preferring to spend his time alone or with me, which I find slightly suffocating. He says he loves me and wants to settle down, but his new attitude makes me wonder if this is the same person I fell in love with.",syntactic_data,Relationships,,,,,87.14,12.86,83
230,"My wife recently got a promotion at work, and I'm incredibly proud of her. But things haven't been the same at home. She often brings her work back home and is constantly on her laptop or on calls. I feel like a single parent, taking care of our two kids while she's locked up in her home office. She assures me that it's a temporary thing, but it's hard not to feel neglected.",syntactic_data,Relationships,,,,,90.99,9.01,73
231,"I've been taking care of my elderly mother for the past three years. As her health declines, she becomes more dependent on me, and it's harder for me to maintain a life outside of caregiving. My friends invite me out, but I often have to decline because I'm too worried about leaving her alone. I feel like I'm losing my identity and becoming just a caregiver.",syntactic_data,Relationships,,,,,50,50,66
232,"My son recently came out to me as gay. I love him and want to support him, but I'm struggling to reconcile this with my own beliefs. I was raised in a conservative family where homosexuality was not accepted. I want to be there for my son, but I'm finding it hard to let go of my old views.",syntactic_data,Relationships,,,,,48.5,51.5,59
233,"My best friend has developed a drug addiction. It's heartbreaking to see someone I care about fall into such a destructive cycle. I've tried to help him, but he refuses to acknowledge the problem. It's frustrating and draining, and I don't know how much longer I can keep trying to save him from himself.",syntactic_data,Relationships,,,,,52.08,47.92,54
234,"My sister and I used to be so close, she was my confidante in everything. Yet, ever since she moved out west and started her new job, it feels like we live in different worlds. Our daily talks have now turned into monthly, sometimes bimonthly catch ups. She's so engrossed in her new lifestyle and her new friends, it feels like she doesn't need me in her life anymore. I feel like an outsider, a stranger to her world, all alone in the world we once shared together.",syntactic_data,Relationships,,,,,88.33,11.67,88
235,"In the beginning, he was the funny, charming guy that I fell in love with. He would always make sure I was cared for and would go out of his way to make me happy. But now, he's become this person who is always busy, always working, always too tired to spend time with me. I can't remember the last time he asked me how my day was or the last time we had a proper conversation. I feel neglected, like I'm just an afterthought in his life.",syntactic_data,Relationships,,,,,65.46,34.54,88
236,"My best friend and I have been inseparable since we were kids, but ever since she got married, things have changed. She's always busy with her husband and her new life, and it seems like there's no room for me anymore. I miss the old times when we would hang out and share everything, now it feels like I'm just intruding in her life.",syntactic_data,Relationships,,,,,74.8,25.2,64
237,"I used to look up to my father and admire him for everything he has achieved. He was my role model, my hero. But recently, I found out some truths about him that have shattered my image of him. He's not the man I thought he was and I feel betrayed, like the person I admired was just a façade.",syntactic_data,Relationships,,,,,62.11,37.89,60
238,"My wife used to be my rock, always there for me when I needed her. Now it feels like she's more interested in her career than our marriage. She's always working late, always too tired to talk, always too busy to spend time with me. It feels like I'm living with a stranger, not the woman I married. I feel alone and neglected, like I'm just a burden to her.",syntactic_data,Relationships,,,,,48.36,51.64,70
239,"It's tough to swallow, but the truth is, during my darkest hours, I found myself solely dependent on myself. Despite reaching out to those I thought I could trust, their lives were too busy to step in and lend a hand. It's a hurtful reality, but it's my reality - that in my struggles, I am alone.",syntactic_data,Lack of social support,,,,,39.71,60.29,57
240,"As I hit rock bottom, I yearned for a shoulder to lean on, only to realize that I had no one to turn to. The friends I had confided in previously seem to be too occupied with their own lives to offer me a momentary solace. The feeling of being alone in a crowd is more painful than the problem itself.",syntactic_data,Lack of social support,,,,,31.2,68.8,61
241,"In my time of need, I felt the sting of solitude. Those I considered friends, those I had supported in times of need, were nowhere to be found when the tables turned. It's a hard pill to swallow, acknowledging the fact that the many relationships I had nurtured, were not there to nurture me in return.",syntactic_data,Lack of social support,,,,,70.59,29.41,56
242,"It's disheartening, realizing that I'm alone in my fight. I've reached out to those I trusted, those I've helped before, only to be met with silence. It's a bitter taste, understanding that when the chips are down, I only have myself to rely on.",syntactic_data,Lack of social support,,,,,30.74,69.26,44
243,"During my toughest times, I learned that the people I thought I could trust weren't available to be there for me. Despite my efforts to connect, I found myself alone. It's a harsh reality check, realizing that I have to face my challenges on my own, even after all the times I've been there for others.",syntactic_data,Lack of social support,,,,,42.49,57.51,56
244,"It's a strange feeling, to find myself wrapped in solitude, even in a crowd. There were times when I was surrounded by people who claimed to understand, who said they were there for me. But when I reached out during my darkest hours, silence was the only answer I received. It's a sobering realization - everyone is caught up in their own whirlwinds, too busy to spare a moment, let alone a shoulder to lean on.",syntactic_data,Lack of social support,,,,,21.35,78.65,76
245,"The loneliness sinks in when you realize that there's no one there to pick up the pieces. I've had conversations with friends about struggles and strife, only to find these same friends missing when I'm battling my own crises. It shatters my heart anew each time I come to the understanding that these people, these 'friends', have their own lives to live, their own battles to fight.",syntactic_data,Lack of social support,,,,,26.64,73.36,67
246,"In moments of profound despair, I've reached out, only to grasp at air. Where were those who pledged to be by my side? Those who swore they would support me through thick and thin? I cannot blame them, for they too have their own lives to lead, their own challenges to face. But it doesn't take the sting out of the loneliness I feel.",syntactic_data,Lack of social support,,,,,53.25,46.75,64
247,"My heart sinks as I reach out to those I've confided in before, only to find them unresponsive. It's not their fault, everyone has their own lives to lead, their own problems to solve. Yet, the pain of realizing that you're truly alone, that there is no one who will be there for you in your time of need, is a bitter pill to swallow.",syntactic_data,Lack of social support,,,,,38.21,61.79,65
248,"I've tried to reach out, to find comfort in the presence of friends, but the harsh reality is that they too have their own struggles to contend with. The realization strikes like a hard blow, leaving me breathless and alone. I understand, life goes on and people can't always be there for you. Yet, it doesn't soothe the sharp sting of loneliness.",syntactic_data,Lack of social support,,,,,31.09,68.91,62
249,"1. An unforeseen medical bill came in the mail yesterday. I had thought my insurance would cover it, but it looks like they didn't. To make matters worse, my investment in stocks didn't pan out as I expected, leaving me with less in my savings than I had planned. On top of that, rumors are flying around my workplace that there might be layoffs soon. With the unstable economy, it feels like my financial ground is shifting beneath me. Should I start considering a bankruptcy lawyer? Any advice on how to navigate these uncertain times will be greatly appreciated.",syntactic_data,Finance,,,,,54.67,45.33,99
250,"2. My car broke down today, and the repair estimate is much higher than I anticipated. It seems like my rainy day fund has been depleted faster than I thought. To compound matters, I recently lost a significant portion of my savings due to a poor investment decision. I was also recently laid off from my job and I'm struggling to find another one. I'm seriously considering filing for bankruptcy, but I'm not sure where to start. Could anyone point me in the right direction?",syntactic_data,Finance,,,,,25.26,74.74,85
251,"3. A sudden medical expense has me stressed out. I thought I had a good health plan but apparently, it doesn't cover everything. I've also made some poor investment choices recently and my savings have taken a hit. I've been informed of possible layoffs at my job and it's keeping me up at night. Is bankruptcy an option I should be considering? How do I go about this, does anyone have any advice?",syntactic_data,Finance,,,,,23.68,76.32,73
252,"4. I'm dealing with some unexpected repair costs for my house and my savings were already depleted from a bad investment. To make matters worse, I was recently let go from my job. Should I be considering bankruptcy? How do I go about it, and is there anything I need to know before I take this step?",syntactic_data,Finance,,,,,13.89,86.11,57
253,"5. After a string of unexpected costs, I'm finding it difficult to stay afloat. I had a significant loss in investments and my savings are dwindling. My job security is also uncertain at the moment. Is it time to consider filing for bankruptcy? If anyone has been through this before, I would appreciate any guidance.",syntactic_data,Finance,,,,,49.58,50.42,55
254,"1. I'm at a complete loss of what to do next. Just when I thought I was getting a grip on things, a sudden, unforeseen expenditure has left me in a tight spot. With my job situation already fragile, I'm not sure how to cope. Can anyone tell me how to manage such unexpected costs while on a tight budget?",syntactic_data,Finance,,,,,0,100,60
255,"2. It feels like everything I've worked so hard to accumulate has just evaporated. All my investments, my nest egg, gone. I don't know how to bounce back from this. Is there any advice out there for rebuilding after such a significant loss?",syntactic_data,Finance,,,,,50.8,49.2,43
256,"3. I never thought I'd find myself in this situation, but here I am, jobless. I'm not sure how to navigate through this unfamiliar and scary terrain. What steps should I take immediately after losing a job? How do I keep my head above water until I find a new one?",syntactic_data,Finance,,,,,0,100,51
257,"4. The word ""bankruptcy"" is such a scary term, but it's become my reality. I'm drowning in debt and I don't know what options I have left. Could anyone share some advice about how to manage or even avoid bankruptcy?",syntactic_data,Finance,,,,,25.7,74.3,40
258,5. My working hours don't align with the timing of the local assistance centers and I'm unable to call them during work hours due to my customer-facing role. So I'm struggling to get the help I need. Any suggestions on how to access resources when work schedules don't align with their availability?,syntactic_data,Finance,,,,,46.67,53.33,52
259,"Lately, the struggle to discover my true purpose in life has been causing me a great deal of stress.",syntactic_data,Values of life,,,,,57.48,42.52,19
260,I'm feeling overwhelmed by the pressure to make decisions that align with my personal beliefs and principles.,syntactic_data,Values of life,,,,,55.21,44.79,17
261,The constant quest for meaningful existence is causing considerable tension in my life these days.,syntactic_data,Values of life,,,,,50,50,15
262,I'm grappling with a lot of stress as I try to figure out how to ensure my actions are consistent with my moral compass.,syntactic_data,Values of life,,,,,48.11,51.89,24
263,"Recently, I've been distressed over the challenge of leading a life that resonates with my intrinsic beliefs.",syntactic_data,Values of life,,,,,31.72,68.28,17
264,"Lately, the thought of whether I'm living a meaningful existence or not has been a source of much anxiety for me.",syntactic_data,Values of life,,,,,57.59,42.41,21
265,I've been under a lot of pressure trying to reconcile my actions with my ethical standards.,syntactic_data,Values of life,,,,,59.93,40.07,16
266,The constant worry about whether or not I am contributing positively to society has been causing me a lot of stress.,syntactic_data,Values of life,,,,,0,100,21
267,I've been feeling overwhelmed with the idea of trying to lead a fulfilling and purposeful life.,syntactic_data,Values of life,,,,,100,0,16
268,"Lately, I've been facing stress trying to understand if my life choices align with my core beliefs.",syntactic_data,Values of life,,,,,0,100,17
269,The constant quest to find meaning in my existence often leaves me feeling drained and stressed.,syntactic_data,Purpose of living,,,,,23.33,76.67,16
270,My life's journey towards discovering my calling often results in feelings of tension and unease.,syntactic_data,Purpose of living,,,,,0,100,15
271,The intrinsic need to understand why I am here often leads to a state of emotional exhaustion.,syntactic_data,Purpose of living,,,,,39.17,60.83,17
272,Continually striving to understand the raison d'être of my life frequently results in high anxiety levels.,syntactic_data,Purpose of living,,,,,0,100,16
273,The ceaseless exploration for my unique contribution to the world often leaves me engulfed in stress and worry.,syntactic_data,Purpose of living,,,,,25,75,18
274,My constant quest to find the ultimate meaning in life has resulted in mounting stress and worry.,syntactic_data,Purpose of living,,,,,0,100,17
275,The ongoing search for my existence's significance has left me feeling constantly drained and uneasy.,syntactic_data,Purpose of living,,,,,41.4,58.6,15
276,The tireless exploration of life's profound meaning often leads me to a state of intense pressure and anxiety.,syntactic_data,Purpose of living,,,,,45.04,54.96,18
277,The persistent hunt for my existential purpose has resulted in a feeling of perpetual tension and distress.,syntactic_data,Purpose of living,,,,,20.79,79.21,17
278,Continuously striving to understand the bigger picture of life has left me grappling with immense stress and discomfort.,syntactic_data,Purpose of living,,,,,0,100,18
279,The constant pursuit of success can lead to a stressful existence devoid of true happiness.,syntactic_data,Joyless Striving,,,,,75.39,24.61,15
280,A relentless ambition can result in a life characterized by tension and a lack of contentment.,syntactic_data,Joyless Striving,,,,,44.58,55.42,16
281,"The relentless pressure to achieve more can rob life of its spontaneity and pleasure, leading to chronic stress.",syntactic_data,Joyless Striving,,,,,35.53,64.47,18
282,"An unwavering drive for accomplishments can often drain the joy out of life, leaving one feeling perpetually strained.",syntactic_data,Joyless Striving,,,,,66.28,33.72,18
283,"The ceaseless compulsion to reach higher goals can create an environment of persistent stress, making life seem devoid of genuine satisfaction.",syntactic_data,Joyless Striving,,,,,68.6,31.4,21
284,Persistently chasing after success can rob life of its genuine enjoyment and satisfaction.,syntactic_data,Joyless Striving,,,,,73.88,26.12,13
285,The constant pursuit of achievement can lead to a sense of emptiness and dissatisfaction.,syntactic_data,Joyless Striving,,,,,0,100,14
286,"When the focus is solely on accomplishment, it can result in a life devoid of contentment and pleasure.",syntactic_data,Joyless Striving,,,,,100,0,18
287,The continuous race for betterment can turn life into a monotonous journey lacking happiness.,syntactic_data,Joyless Striving,,,,,100,0,14
288,Being perpetually driven for more can strip life of its true essence and leave one feeling unfulfilled.,syntactic_data,Joyless Striving,,,,,51.79,48.21,17
289,"There's a certain kind of strain that comes with never-ending aspiration; it's like you're constantly on a treadmill, always moving but never truly arriving at satisfaction.",syntactic_data,Joyless Striving,,,,,62.93,37.07,26
290,"I've found that the relentless pursuit of achievement can sometimes rob the journey of its joy, leaving you feeling empty despite your accomplishments.",syntactic_data,Joyless Striving,,,,,54.52,45.48,23
291,"When the ambition to always reach for the next thing consumes you, it can sap the happiness out of the very success you're striving for.",syntactic_data,Joyless Striving,,,,,100,0,25
292,"Sometimes, my relentless quest for meaning in every aspect of my life leaves me feeling drained and unsettled.",syntactic_data,Purpose of living,,,,,36.1,63.9,18
293,"The constant search for my true raison d'être, often leaves me in a state of disquiet and worry.",syntactic_data,Purpose of living,,,,,34.99,65.01,18
294,The ongoing journey to discover what truly drives me and gives my life value often results in feelings of stress and fatigue.,syntactic_data,Purpose of living,,,,,52.5,47.5,22
295,"Lately, I've been grappling with the kind of person I want to be and the kind of impact I want to make in this world.",syntactic_data,Values of life,,,,,100,0,25
296,I have been feeling a bit overwhelmed lately as I strive to align my actions with my deepest beliefs and principles.,syntactic_data,Values of life,,,,,100,0,21
297,"Recently, trying to identify what truly matters to me and how I can live authentically has been causing me quite a bit of stress.",syntactic_data,Values of life,,,,,56.46,43.54,24
